date,start,end,minutes,bucket,domain,project,activity,target,confidence,notes
2026-08-19,17:42,18:00,18,rest,,,"eating, Veer Zaara in background",,reconstructed,evening with wife
2026-08-19,18:00,18:20,20,rest,,,getting ready to leave,,reconstructed,evening with wife
2026-08-19,18:20,19:05,45,rest,,,drive to Brantford,,reconstructed,evening with wife
2026-08-19,19:05,20:54,109,rest,,,Costco + mall shopping,,reconstructed,evening with wife
2026-08-19,20:54,21:39,45,rest,,,drive back from Brantford,,reconstructed,evening with wife
2026-08-19,21:39,22:24,45,necessities,,,walk,,reconstructed,
2026-08-19,22:24,22:44,20,necessities,,,hauling groceries in,,reconstructed,
2026-08-19,22:44,00:00,76,sleep,,,sleep,,reconstructed,trailing block; closes the day
2026-08-21,00:00,05:20,320,sleep,,,sleep,,reconstructed,leading block
2026-08-21,05:20,05:50,30,necessities,,,"prep for day, prep for wife's work",,reconstructed,
2026-08-21,05:50,06:03,13,necessities,,,drive (wife transport),,reconstructed,
2026-08-21,06:03,07:00,57,slack,,,"breakfast, YouTube browsing, mail check, Bournemouth lookups",,reconstructed,
2026-08-21,07:00,10:00,180,targeted_work,research,Vibecoding,CHI27 - reading related works,Read related-works papers,reconstructed,
2026-08-21,10:00,11:00,60,targeted_work,research,Vibecoding,CHI27 - drafting related works,Draft related works,reconstructed,
2026-08-21,11:00,11:51,51,work,,,meeting,,reconstructed,
2026-08-21,11:51,12:11,20,targeted_work,research,Vibecoding,CHI submission via precision conference,Draft related works,reconstructed,
2026-08-21,12:11,12:42,31,rest,,,deserved break after continuous work,,reconstructed,
2026-08-21,12:42,14:06,84,slack,,,watched Sound of Music,,reconstructed,
2026-08-21,14:06,14:55,49,obligations,,,"bank trip for loonies, started laundry",,reconstructed,
2026-08-21,14:55,15:06,11,targeted_work,research,Vibecoding,revised CHI submission,Draft related works,reconstructed,
2026-08-21,15:06,17:06,120,slack,,,"watched match, linedrying, other stuff",,reconstructed,
2026-08-21,17:06,17:20,14,slack,,,watched Sound of Music again,,reconstructed,
2026-08-21,17:20,18:20,60,necessities,,,"dishes, cooking, cleaned kitchen and room",,reconstructed,
2026-08-21,18:20,18:40,20,necessities,,,away 20 min when wife called,,reconstructed,
2026-08-21,18:40,19:20,40,necessities,,,"more dishes, more food, day prep",,reconstructed,
2026-08-21,19:20,19:45,25,necessities,,,eating,,reconstructed,
2026-08-21,19:45,20:10,25,rest,,,quality time with wife,,reconstructed,evening with wife
2026-08-21,20:10,20:55,45,necessities,,,walk,,reconstructed,
2026-08-21,20:55,21:05,10,necessities,,,shower,,reconstructed,
2026-08-21,21:05,00:00,175,sleep,,,sleep,,reconstructed,trailing block; closes the day
2026-08-20,00:00,05:20,320,sleep,,,sleep,,reconstructed,leading block
2026-08-20,05:20,05:50,30,necessities,,,prep for wife's work,,reconstructed,
2026-08-20,05:50,06:05,15,necessities,,,drive (wife transport),,reconstructed,
2026-08-20,06:05,06:22,17,necessities,,,"morning routine, eating",,reconstructed,
2026-08-20,06:22,06:59,37,targeted_work,research,Vibecoding,"setting up online work access (Claude Code), organizing reading list",Read related-works papers,reconstructed,
2026-08-20,06:59,07:15,16,slack,,,Fantasy Premier League,,reconstructed,#drift: setting up work access/reading list -> pulled off by a messenger message or an open Claude thread
2026-08-20,07:15,08:00,45,targeted_work,research,Throughline,continued - fetched ACM paper via proxy,Finish wrapping up the formative study analysis,reconstructed,
2026-08-20,08:00,08:17,17,obligations,,,"shower, prep for travel",,reconstructed,
2026-08-20,08:17,09:39,82,obligations,,,drive to college,,reconstructed,
2026-08-20,09:39,09:49,10,obligations,,,"parking lot to lab, settle",,reconstructed,
2026-08-20,09:49,11:00,71,targeted_work,research,Throughline,Throughline work,Finish wrapping up the formative study analysis,reconstructed,
2026-08-20,11:00,12:15,75,obligations,,,user study (as participant),,reconstructed,ran a bit longer than the 11-12 slot
2026-08-20,12:15,12:38,23,necessities,,,lunch with colleagues,,reconstructed,
2026-08-20,12:38,13:00,22,slack,,,"waiting for Maria, fidgety, tried setting up markdown editor",,reconstructed,
2026-08-20,13:00,14:00,60,work,,,meeting with Maria,,reconstructed,
2026-08-20,14:00,14:45,45,obligations,,,continued talking with Maria (socializing),,reconstructed,
2026-08-20,14:45,16:00,75,work,research,,prep + talked with Noah - research paper,,reconstructed,
2026-08-20,16:00,18:10,130,obligations,,,"wrap-up/prep, drove back incl. gas fill",,reconstructed,
2026-08-20,18:10,18:30,20,rest,,,home after drive,,reconstructed,
2026-08-20,18:30,18:45,15,obligations,,,picked up wife,,reconstructed,
2026-08-20,18:45,19:30,45,necessities,,,made food,,reconstructed,
2026-08-20,19:30,19:51,21,necessities,,,ate,,reconstructed,
2026-08-20,19:51,20:10,19,slack,,,brief YouTube,,reconstructed,
2026-08-20,20:10,20:55,45,necessities,,,walk,,reconstructed,
2026-08-20,20:55,23:05,130,rest,,,time with wife,,reconstructed,evening with wife
2026-08-20,23:05,00:00,55,sleep,,,sleep,,reconstructed,trailing block; closes the day
